Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
109,269,1,0,64,0.18015482054890922,18874,35525
110,254,3,0,64,0.17880091635469633,18934,35794
111,306,1,0,66,0.18308921438082557,18949,36048
112,299,1,0,67,0.18429883919238596,19033,36354
113,319,3,0,67,0.18279540556025425,19111,36653
114,267,0,0,70,0.18933246781348045,19217,36972
115,302,1,0,69,0.18528961572544914,19234,37239
116,293,0,0,69,0.18379904637596228,19303,37541
117,255,2,0,67,0.17708939049532166,19356,37834
118,290,1,0,69,0.1811546640762425,19378,38089
119,253,0,0,69,0.17978582037051513,19402,38379
120,336,0,0,68,0.17601987989231727,19429,38632
121,327,0,0,68,0.17450215561486349,19542,38968
122,344,1,0,67,0.17050515332739533,19623,39295
123,308,2,0,68,0.17154822270995737,19721,39639
124,301,0,0,68,0.1702255488522292,19801,39947
125,261,1,0,66,0.16398330351818724,19879,40248
126,288,2,0,66,0.1629267570169592,19900,40509
127,290,1,0,68,0.16667892246978946,19939,40797
128,344,0,0,69,0.16793633022610557,19999,41087
129,336,4,0,65,0.15688735487919672,20113,41431
130,313,1,0,68,0.16280795843608592,20180,41767
131,296,0,0,69,0.16397338403041825,20273,42080
132,297,2,0,68,0.16046818954124975,20312,42376
133,297,0,0,69,0.16169474843577908,20398,42673
134,312,2,0,68,0.1582499418198743,20461,42970
135,307,0,0,69,0.15941962016542674,20518,43282
136,328,0,0,66,0.15141434765651884,20557,43589
137,297,0,0,65,0.14800646674408544,20615,43917
138,345,1,0,65,0.1470122585606369,20652,44214
139,281,0,0,65,0.14587400973989542,20740,44559
140,359,3,0,64,0.14272970561998216,20750,44840
141,361,1,0,66,0.14602092966658553,20870,45199
142,301,3,0,66,0.14486391571553994,20988,45560
143,297,0,0,67,0.14609363075379952,21037,45861
144,351,0,0,66,0.14298713115819575,21095,46158
145,297,0,0,65,0.13975789632114213,21193,46509
146,313,1,0,65,0.13887108490364483,21229,46806
147,359,0,0,66,0.14007088435662896,21299,47119
148,337,3,0,66,0.13901175281182862,21421,47478
149,316,0,0,69,0.144306180069016,21521,47815
150,285,1,0,69,0.14335875007791238,21575,48131
151,362,3,0,70,0.14458030403172506,21593,48416
152,377,2,0,72,0.14760752798392718,21708,48778
153,297,1,0,72,0.1464754348489472,21849,49155
154,320,0,0,73,0.14761789209738738,21903,49452
155,293,0,0,72,0.14465964799485656,21993,49772
156,372,1,0,72,0.14381304304404274,22018,50065
157,333,1,0,72,0.1427523445089914,22125,50437
158,382,3,0,73,0.1437857002166634,22240,50770
159,377,0,0,74,0.1446668751954958,22388,51152
160,320,0,0,73,0.14166779871528654,22506,51529
161,364,1,0,73,0.1407934579259002,22571,51849
162,385,1,0,74,0.14172715607224254,22707,52213
163,357,1,0,72,0.136887334119168,22793,52598
164,312,0,0,70,0.13218770654329146,22867,52955
165,367,1,0,70,0.1314134454728068,22921,53267
166,358,0,0,71,0.1323787149942201,23010,53634
167,352,0,0,71,0.13150096310564527,23130,53992
168,403,2,0,71,0.13064919770351832,23211,54344
169,384,0,0,73,0.1333406396697536,23346,54747
170,309,2,0,72,0.1305980301463786,23465,55131
171,371,0,0,74,0.1334776334776335,23484,55440
172,352,2,0,73,0.1307985880919532,23587,55811
173,325,1,0,75,0.133539875006677,23644,56163
174,326,1,0,75,0.1327715621016853,23661,56488
175,315,0,0,76,0.13376984546062592,23720,56814
176,407,0,0,76,0.13303226032312837,23732,57129
177,400,0,0,73,0.126877085650723,23845,57536
178,336,2,0,72,0.12427506213753108,23947,57936
179,344,0,0,74,0.1269906644700714,24013,58272
180,323,0,0,72,0.12283335608025113,24056,58616
181,400,2,0,71,0.12046353009043248,24080,58939
182,329,1,0,69,0.11628102933989451,24221,59339
183,324,0,0,69,0.11563987396929679,24273,59668
184,389,0,0,66,0.11001466862248299,24290,59992
185,383,1,0,65,0.10764975737400836,24346,60381
186,404,0,0,64,0.10532552169047463,24462,60764
187,360,0,0,64,0.104629871828407,24580,61168
188,380,3,0,64,0.10401768300611104,24668,61528
189,343,0,0,66,0.10660980810234541,24738,61908
