Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
109,280,2,0,49,0.13901497957330913,18629,35248
110,310,2,0,51,0.14354875028146813,18692,35528
111,251,0,0,53,0.14788771694849043,18776,35838
112,267,2,0,52,0.14408822632935242,18797,36089
113,306,0,0,53,0.14578061392892508,18828,36356
114,276,0,0,51,0.13910861382357753,18913,36662
115,308,1,0,50,0.1353619578753587,18936,36938
116,254,0,0,50,0.13424260323256187,19024,37246
117,249,2,0,50,0.13333333333333333,19042,37500
118,293,0,0,50,0.13245383983681686,19018,37749
119,305,1,0,49,0.12880500499447978,19083,38042
120,256,1,0,49,0.12778053041958953,19158,38347
121,310,1,0,49,0.12693313991140584,19197,38603
122,256,0,0,50,0.12849176367794823,19291,38913
123,267,1,0,50,0.127651969669892,19340,39169
124,329,0,0,50,0.12678770666396186,19380,39436
125,276,0,0,49,0.12322394065132655,19464,39765
126,258,0,0,49,0.12237456606977848,19510,40041
127,306,2,0,48,0.1191096553264349,19535,40299
128,323,2,0,50,0.12313754463735993,19569,40605
129,264,0,0,52,0.12705238467552776,19650,40928
130,307,2,0,52,0.126238104486308,19700,41192
131,274,1,0,53,0.1277139208173691,19778,41499
132,300,0,0,54,0.12927010269791492,19809,41773
133,263,1,0,54,0.12834834692082808,19894,42073
134,297,1,0,55,0.12991307634164778,19932,42336
135,302,1,0,55,0.129008045410832,19988,42633
136,301,1,0,56,0.1304297193431932,20052,42935
137,304,0,0,56,0.12952169488389303,20106,43236
138,314,1,0,56,0.12861736334405144,20159,43540
139,277,0,0,56,0.12769644730241256,20231,43854
140,264,1,0,55,0.1246289456391199,20255,44131
141,288,2,0,56,0.12614033111836917,20297,44395
142,346,0,0,58,0.12980328088982387,20366,44683
143,285,1,0,57,0.1265850896089187,20464,45029
144,341,3,0,58,0.12799576289888334,20531,45314
145,285,0,0,61,0.13361077647574196,20617,45655
146,271,0,0,59,0.1284283848498041,20664,45940
147,355,0,0,56,0.12118326805306097,20682,46211
