Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,169,0,0,89,0.89,10000,10000
2,145,0,0,89,0.8752089684334743,10169,10169
3,156,0,0,89,0.8629047896063603,10314,10314
4,167,0,0,89,0.8500477554918815,10470,10470
5,168,0,0,89,0.8367020776534737,10637,10637
6,159,1,0,89,0.8236927348449792,10805,10805
7,155,0,0,90,0.8208682962422473,10964,10964
8,184,0,0,90,0.8094253080312978,11119,11119
9,148,0,0,90,0.7962487835088029,11303,11303
10,195,0,0,90,0.7859575582918523,11451,11451
11,182,0,0,90,0.7727975270479135,11646,11646
12,189,0,0,90,0.7609063239770038,11828,11828
13,179,0,0,90,0.7489390030789714,12017,12017
14,174,0,0,90,0.7379468678255166,12196,12196
15,186,0,0,90,0.7275666936135812,12370,12370
16,165,0,0,90,0.7167887862376553,12556,12556
17,223,0,0,90,0.7074915494064933,12721,12721
18,183,1,0,90,0.6953028430160693,12944,12944
19,217,0,0,91,0.6932276986363983,13127,13127
20,175,0,0,91,0.6819544364508393,13344,13344
21,229,1,0,91,0.6731267105555144,13519,13519
22,234,0,0,92,0.6691882455629911,13739,13748
23,189,0,0,91,0.6508367901587756,13949,13982
24,243,0,0,90,0.6350998518100346,14092,14171
25,217,0,0,90,0.6243929512973498,14250,14414
26,236,1,0,88,0.6014626478026108,14360,14631
27,245,1,0,88,0.5919149794847649,14472,14867
28,190,1,0,87,0.5757014293276865,14557,15112
29,205,0,0,88,0.5750882237615997,14595,15302
30,235,0,0,86,0.5545882504675308,14615,15507
31,226,0,0,86,0.5463092364375556,14671,15742
32,249,0,0,86,0.5385771543086173,14700,15968
33,198,0,0,84,0.5179749645433803,14754,16217
34,257,0,0,84,0.511727078891258,14756,16415
35,252,0,0,82,0.49184261036468335,14826,16672
36,237,0,0,81,0.47861025762231146,14880,16924
37,258,1,0,80,0.46617329992424683,14917,17161
38,205,1,0,79,0.4535277570469028,14980,17419
39,214,1,0,74,0.4198819791193827,14977,17624
40,226,0,0,71,0.3980266846058975,14972,17838
41,202,0,0,70,0.387511071744907,15006,18064
42,255,0,0,69,0.3777510128106865,15008,18266
43,237,1,0,67,0.3617515252956104,15057,18521
44,261,1,0,65,0.3465188186373814,15083,18758
45,225,1,0,66,0.3470213996529786,15158,19019
46,258,2,0,67,0.3481604655996674,15184,19244
47,232,1,0,68,0.34868218644241616,15230,19502
48,252,0,0,66,0.33444816053511706,15257,19734
49,214,2,0,65,0.3252276593615531,15298,19986
50,239,1,0,66,0.32673267326732675,15303,20200
51,234,0,0,66,0.32291207984735065,15321,20439
52,269,0,0,62,0.2999080926812751,15356,20673
53,253,0,0,59,0.28173049374462805,15414,20942
54,215,2,0,56,0.2642132578438311,15469,21195
55,209,0,0,57,0.26623073330219527,15512,21410
56,268,2,0,55,0.2544058467089134,15536,21619
57,227,2,0,57,0.26042856490153976,15588,21887
58,250,1,0,59,0.26679931265261825,15621,22114
59,243,1,0,58,0.25934537649794315,15668,22364
60,258,0,0,56,0.24771088600875837,15706,22607
61,268,0,0,55,0.24054231357970696,15764,22865
62,236,1,0,50,0.21614144296027318,15842,23133
63,276,0,0,49,0.20967948992254695,15887,23369
64,219,1,0,48,0.2030027489955593,15968,23645
65,243,1,0,48,0.2011397921555481,15980,23864
66,233,0,0,47,0.19496411830588625,16020,24107
67,212,1,0,45,0.1848808545603944,16033,24340
68,233,4,0,45,0.18328445747800587,16013,24552
69,258,1,0,47,0.1896308250958241,16046,24785
70,236,1,0,48,0.1916703270374955,16104,25043
71,213,1,0,44,0.17405751809802603,16138,25279
72,256,1,0,43,0.16868037031225483,16140,25492
73,272,2,0,42,0.16311946558956036,16206,25748
74,270,0,0,43,0.1652574942352037,16297,26020
75,215,0,0,43,0.16356028908330164,16408,26290
76,222,2,0,42,0.15846066779852858,16438,26505
77,259,2,0,44,0.1646275302128933,16482,26727
78,226,0,0,45,0.16675313125324243,16549,26986
79,264,0,0,44,0.16169337057180655,16624,27212
80,223,0,0,44,0.16013975833454652,16726,27476
81,245,1,0,44,0.15885050001805118,16787,27699
82,238,2,0,45,0.16103635843114802,16857,27944
83,285,1,0,47,0.16677311759278973,16920,28182
84,291,0,0,47,0.16510345312115784,17032,28467
85,225,0,0,47,0.1634327839209959,17143,28758
86,248,1,0,47,0.1621640271883518,17198,28983
87,248,0,0,48,0.16420922992713216,17271,29231
88,242,0,0,48,0.16282777570473897,17342,29479
89,249,1,0,48,0.16150196830523872,17425,29721
90,267,2,0,49,0.16349683016349684,17488,29970
91,270,1,0,51,0.16866752654033138,17555,30237
92,293,0,0,52,0.170452682990789,17627,30507
93,304,0,0,52,0.16883116883116883,17719,30800
94,312,1,0,51,0.16396604938271603,17835,31104
95,309,0,0,52,0.16552075375604786,17946,31416
96,295,1,0,52,0.16390858944050432,18027,31725
97,299,0,0,52,0.16239850093691444,18098,32020
98,273,0,0,52,0.16089606732881587,18171,32319
99,301,2,0,51,0.156480117820324,18207,32592
100,287,0,0,53,0.1611285075852005,18294,32893
101,247,1,0,53,0.15973477998794455,18377,33180
102,302,3,0,54,0.1615460555838095,18383,33427
103,271,1,0,57,0.16899404073645824,18470,33729
104,274,0,0,57,0.1676470588235294,18528,34000
105,311,0,0,57,0.1663068214973449,18566,34274
106,249,2,0,56,0.1619199074743386,18691,34585
107,304,1,0,58,0.1665039903542516,18709,34834
108,307,0,0,59,0.16790938585007684,18772,35138
109,290,1,0,59,0.16645507123712794,18812,35445
110,314,2,0,59,0.16510423954106618,18883,35735
111,261,0,0,61,0.16921412521845267,18980,36049
112,259,1,0,60,0.16524373450839988,19003,36310
113,285,3,0,60,0.16407339549891986,19046,36569
114,300,1,0,63,0.17094480924730016,19103,36854
115,301,1,0,64,0.1722560155030414,19171,37154
116,271,0,0,64,0.170871712721933,19254,37455
117,296,1,0,63,0.16699358532577002,19282,37726
118,294,0,0,63,0.165693545841881,19341,38022
119,338,2,0,62,0.16181229773462785,19385,38316
120,282,1,0,63,0.1629844259326331,19471,38654
121,294,0,0,64,0.16437230326689953,19503,38936
122,278,1,0,64,0.16314045373438693,19552,39230
123,302,2,0,64,0.1619925078465121,19604,39508
124,274,1,0,65,0.1632755589047978,19645,39810
125,274,2,0,65,0.1621594651232412,19690,40084
126,346,1,0,67,0.16601417315030478,19734,40358
127,265,0,0,67,0.16460298742138366,19825,40704
128,297,2,0,67,0.16353828504478998,19860,40969
129,332,1,0,69,0.16720787088644404,19933,41266
130,328,0,0,68,0.16346939756719073,20005,41598
131,303,1,0,68,0.16219052616514812,20126,41926
132,271,2,0,67,0.15865874162305524,20176,42229
133,268,0,0,69,0.1623529411764706,20196,42500
134,305,0,0,66,0.15432098765432098,20212,42768
135,270,2,0,65,0.15090660042253848,20257,43073
136,316,1,0,67,0.15458090118358211,20296,43343
137,312,1,0,67,0.15346205822396297,20378,43659
138,275,1,0,68,0.154647381228537,20446,43971
139,292,0,0,69,0.15594630023052933,20492,44246
140,351,2,0,68,0.15267861152274464,20534,44538
141,319,0,0,66,0.1470293390362895,20621,44889
142,307,1,0,65,0.1437798619713325,20704,45208
143,361,1,0,65,0.14281006261671975,20776,45515
144,296,0,0,65,0.1416862847676345,20907,45876
145,318,0,0,65,0.1407779606688036,20961,46172
146,296,2,0,63,0.13551301355130135,21043,46490
147,367,4,0,64,0.1367930577523191,21111,46786
148,363,4,0,67,0.14209064110448966,21227,47153
149,318,1,0,69,0.1452142436232006,21344,47516
150,374,1,0,69,0.14424886064305725,21418,47834
151,319,0,0,69,0.1431297709923664,21563,48208
152,348,0,0,69,0.14218888453850434,21664,48527
153,332,1,0,69,0.1411764705882353,21748,48875
154,343,0,0,69,0.14022395187676548,21845,49207
155,305,3,0,69,0.13925327951564076,21936,49550
156,294,1,0,72,0.14441881456223046,21988,49855
157,361,2,0,72,0.14357215497816506,22029,50149
158,357,2,0,73,0.14452583646802614,22114,50510
159,326,2,0,75,0.14744333261249928,22246,50867
160,360,2,0,74,0.14455101283378588,22307,51193
161,387,3,0,75,0.14548134929102088,22414,51553
162,392,1,0,78,0.15017327685791299,22543,51940
163,362,0,0,79,0.1509592601085378,22661,52332
164,376,3,0,78,0.14802444301058945,22762,52694
165,363,1,0,80,0.15074429998115696,22881,53070
166,392,7,0,80,0.14972021035689556,22977,53433
167,358,0,0,86,0.15977705527171387,23084,53825
168,370,2,0,86,0.158721370171456,23132,54183
169,368,4,0,88,0.16131101864242114,23208,54553
170,368,1,0,92,0.16751333733908705,23295,54921
171,341,1,0,92,0.16639837942447863,23387,55289
172,356,1,0,93,0.1671759841811972,23428,55630
173,401,1,0,93,0.16611295681063123,23482,55986
174,345,2,0,93,0.16493163317786014,23590,56387
175,370,1,0,94,0.16569132059507863,23672,56732
176,416,2,0,93,0.16286644951140067,23765,57102
177,365,2,0,94,0.1634271010814006,23897,57518
178,345,0,0,96,0.16585180450218545,23948,57883
179,368,1,0,95,0.16315174829978704,24018,58228
180,342,0,0,96,0.16383370878558262,24121,58596
181,335,0,0,94,0.1594896331738437,24164,58938
182,358,0,0,94,0.15858822735478212,24222,59273
183,419,0,0,94,0.15763612885915046,24290,59631
184,332,0,0,93,0.15487094088259784,24397,60050
185,388,1,0,92,0.1523632870723063,24448,60382
186,386,1,0,90,0.1480993911469475,24555,60770
187,349,1,0,90,0.14716462816403952,24657,61156
188,339,1,0,91,0.14795545077635966,24731,61505
189,361,3,0,91,0.14714442791540003,24776,61844
190,324,0,0,92,0.1478980789325617,24872,62205
191,392,1,0,92,0.14713173087687312,24877,62529
192,387,0,0,92,0.14621509511927655,24965,62921
193,415,2,0,90,0.14216212800909836,25052,63308
194,406,2,0,91,0.14280558040268035,25144,63723
195,345,2,0,92,0.14346083675092391,25234,64129
196,338,0,0,93,0.14424419145702144,25273,64474
197,405,1,0,91,0.1404060976362402,25338,64812
198,342,0,0,91,0.13953417053835657,25450,65217
199,334,2,0,91,0.13880626611144162,25508,65559
200,438,0,0,93,0.14113790539207505,25564,65893
201,367,0,0,90,0.1356831647344379,25705,66331
202,391,2,0,89,0.13343728447629613,25765,66698
203,360,2,0,89,0.1326596014249728,25840,67089
204,379,0,0,91,0.13491675191626265,25914,67449
205,397,3,0,90,0.13268856519431504,26034,67828
206,420,1,0,93,0.13631366801026015,26146,68225
207,448,3,0,94,0.1369364119746522,26271,68645
208,423,0,0,97,0.14039048818259448,26417,69093
209,393,2,0,94,0.13522066862305082,26540,69516
210,352,2,0,95,0.13589094394140955,26626,69909
211,432,4,0,97,0.13805667439973812,26672,70261
