Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
109,309,34,0,2315,6.7427839105234035,17919,34333
110,251,26,0,2322,6.702846255989839,18005,34642
111,297,35,0,2327,6.668959390135558,18077,34893
112,267,30,0,2337,6.641091219096334,18140,35190
113,308,38,0,2341,6.602363426121781,18184,35457
114,268,33,0,2349,6.567873619460367,18279,35765
115,246,31,0,2355,6.535675630671885,18330,36033
116,317,35,0,2363,6.513409961685824,18352,36279
117,243,33,0,2361,6.451524756804022,18460,36596
118,305,43,0,2360,6.40625424142892,18483,36839
119,256,34,0,2365,6.367111781175964,18544,37144
120,306,36,0,2367,6.328877005347594,18577,37400
121,286,32,0,2377,6.3040364928658565,18657,37706
122,246,26,0,2376,6.253948199620973,18733,37992
123,246,32,0,2376,6.213714106386317,18748,38238
124,311,44,0,2376,6.17399438727783,18776,38484
125,302,51,0,2392,6.165743008119603,18873,38795
126,252,42,0,2408,6.15904033557562,18952,39097
127,277,22,0,2419,6.147551399019035,18978,39349
128,321,38,0,2421,6.109624993691011,19013,39626
129,321,44,0,2424,6.068040153202994,19109,39947
130,322,48,0,2429,6.032085030297011,19156,40268
131,252,37,0,2441,6.013796501601379,19258,40590
132,262,38,0,2439,5.971793741736447,19281,40842
133,260,28,0,2449,5.958057609964967,19277,41104
134,298,36,0,2436,5.889178996228604,19294,41364
135,302,32,0,2436,5.847054870145456,19363,41662
136,297,42,0,2431,5.793060718711277,19414,41964
137,288,35,0,2445,5.785475970753176,19501,42261
138,287,44,0,2449,5.755716938118405,19561,42549
139,263,29,0,2450,5.719488280885237,19610,42836
140,287,33,0,2445,5.672985452098656,19640,43099
141,292,39,0,2455,5.658507352602222,19729,43386
142,340,49,0,2462,5.6367049773341265,19784,43678
143,283,37,0,2476,5.624971602526239,19884,44018
144,328,39,0,2484,5.6070969052617325,19929,44301
145,316,47,0,2492,5.583813215622129,20004,44629
146,289,41,0,2513,5.59127822894649,20088,44945
147,269,36,0,2529,5.590927178670911,20137,45234
148,329,42,0,2543,5.588642507087445,20161,45503
149,299,34,0,2557,5.579071391167743,20260,45832
150,321,47,0,2558,5.545078147016106,20326,46131
151,321,49,0,2574,5.541203823301473,20380,46452
152,271,35,0,2595,5.548072605990636,20463,46773
153,348,53,0,2601,5.5288665929767875,20470,47044
154,285,38,0,2627,5.543129642133693,20602,47392
155,352,51,0,2631,5.518384126518027,20661,47677
156,324,45,0,2659,5.536238522559287,20784,48029
157,290,48,0,2683,5.54877670465121,20867,48353
158,351,46,0,2702,5.554756080011512,20915,48643
159,328,34,0,2715,5.5414948769237045,21020,48994
160,297,39,0,2713,5.500587972912696,21086,49322
161,283,39,0,2723,5.487817166811101,21120,49619
162,355,53,0,2735,5.480742254819447,21166,49902
163,372,39,0,2752,5.475854109875241,21249,50257
164,349,29,0,2753,5.4375950542179385,21331,50629
165,297,39,0,2748,5.39056063399898,21428,50978
166,345,48,0,2771,5.404193076548025,21495,51275
167,308,46,0,2783,5.391321193335917,21587,51620
168,374,48,0,2797,5.386304113387768,21628,51928
169,327,35,0,2813,5.378379411877175,21747,52302
170,337,42,0,2806,5.331661251401319,21795,52629
171,366,48,0,2823,5.329834233281728,21852,52966
172,323,41,0,2837,5.3195079876996925,21948,53332
173,305,32,0,2849,5.309849967384214,22042,53655
174,308,41,0,2847,5.276130467012602,22067,53960
175,371,49,0,2853,5.257241836809906,22095,54268
176,339,48,0,2884,5.27828108127894,22231,54639
177,391,47,0,2902,5.278475026374186,22319,54978
178,377,51,0,2907,5.250230273257599,22467,55369
179,327,49,0,2916,5.230868582499193,22595,55746
180,296,38,0,2930,5.225331264601501,22661,56073
181,323,25,0,2933,5.203214532810587,22683,56369
182,366,45,0,2921,5.152402455372892,22712,56692
183,359,42,0,2928,5.131620456377721,22778,57058
184,361,50,0,2933,5.108243203232492,22863,57417
185,315,37,0,2952,5.109211118418775,22946,57778
186,310,44,0,2967,5.107327905255366,22988,58093
187,353,37,0,2966,5.078506241117751,23005,58403
188,333,39,0,2982,5.075226359861121,23110,58756
189,390,50,0,2986,5.053394032730288,23187,59089
190,340,41,0,3004,5.050522032986432,23286,59479
191,396,45,0,3004,5.02181581102994,23343,59819
192,377,46,0,3017,5.010379473553101,23461,60215
193,315,35,0,3025,4.992408238711381,23565,60592
194,367,44,0,3027,4.969872100087018,23599,60907
195,333,49,0,3031,4.946633155987858,23670,61274
196,352,50,0,3054,4.957228886327853,23723,61607
197,368,30,0,3065,4.946819671072806,23803,61959
198,366,46,0,3057,4.904776421133699,23875,62327
199,383,35,0,3073,4.90166366260986,23960,62693
200,358,52,0,3072,4.87031517534403,24067,63076
201,419,47,0,3079,4.853863858498597,24132,63434
202,393,53,0,3080,4.8235791583794025,24249,63853
203,413,57,0,3100,4.825203125486412,24360,64246
204,398,46,0,3117,4.820674616062729,24505,64659
205,338,41,0,3125,4.803480025208663,24631,65057
206,397,46,0,3134,4.792415322272345,24698,65395
