Initial population: 100,000
Initial homosexuals: 5%
Children per generation: 0.01 to 0.005 percent of total population
Random event chance: 50%
Death range: 70 to 90 years old
Breeding ages: 20 to 50 years old
Run off: 500 years
Homosexual extinction year approx: 6300

0	0	5590	100000	5590	100000
1	770	5591	100681	5591	100681
2	646	5592	101266	5592	101266
3	955	5593	102125	5593	102125
4	581	5593	102655	5593	102655
5	619	5594	103212	5594	103212
6	568	5594	103721	5594	103721
7	675	5596	104318	5596	104318
8	794	5596	105008	5596	105008
9	916	5597	105826	5597	105826
10	1000	5597	106719	5597	106719
11	987	5599	107603	5599	107603
12	1062	5605	108562	5605	108562
13	675	5607	109166	5607	109166
14	1086	5608	110137	5608	110137
15	846	5609	110874	5609	110874
16	617	5609	111418	5609	111418
17	1071	5613	112385	5613	112385
18	993	5614	113288	5614	113288
19	569	5615	113802	5615	113802
20	825	5617	114527	5617	114527
21	674	5617	115143	5617	115143
22	1065	5619	116084	5619	116084
23	875	5619	116870	5619	116870
24	596	5620	117411	5620	117411
25	794	5623	118124	5623	118124
26	930	5623	118958	5623	118958
27	789	5623	119665	5623	119665
28	746	5625	120345	5625	120345
29	652	5628	120949	5628	120949
30	973	5628	121919	5628	121919
31	809	5629	122726	5629	122726
32	796	5629	123518	5629	123518
33	631	5629	124148	5629	124148
34	855	5629	125002	5629	125002
35	1113	5629	126112	5629	126112
36	1146	5629	127255	5629	127255
37	678	5629	127929	5629	127929
38	1105	5629	129026	5629	129026
39	1194	5629	130213	5629	130213
40	817	5629	131025	5629	131025
41	1233	5631	132256	5631	132256
42	1196	5631	133447	5631	133447
43	1170	5632	134613	5632	134613
44	945	5633	135553	5633	135553
45	885	5633	136435	5633	136435
46	852	5633	137282	5633	137282
47	1319	5633	138594	5633	138594
48	1215	5634	139802	5634	139802
49	726	5634	140525	5634	140525
50	1040	5634	141562	5634	141562
51	772	5337	137283	5337	137283
52	1325	4789	129108	4789	129108
53	1202	4099	117553	4099	117553
54	865	3318	103851	3318	103851
55	1067	2509	90392	2509	90392
56	995	1752	78167	1752	78167
57	947	1180	68562	1180	68562
58	1373	725	62006	725	62006
59	1137	414	57732	414	57732
60	1405	230	55865	230	55865
61	1134	120	55166	120	55166
62	1193	72	55498	72	55498
63	1446	55	56557	55	56557
64	1093	52	57524	52	57524
65	1566	50	59046	50	59046
66	1584	49	60614	49	60614
67	1078	49	61685	49	61685
68	929	50	62612	50	62612
69	945	51	63555	51	63555
70	878	52	64432	52	64432
71	1293	52	65723	52	65723
72	958	52	66680	52	66680
73	1123	52	67756	52	67756
74	871	52	68537	52	68537
75	1159	52	69495	52	69495
76	903	52	70121	52	70121
77	1402	51	71173	51	71173
78	1492	49	72187	49	72187
79	1452	49	73138	49	73138
80	1093	50	73704	50	73704
81	1216	50	74340	50	74340
82	1524	50	75265	50	75265
83	936	49	75545	49	75545
84	1686	48	76504	48	76504
85	1529	47	77315	47	77315
86	1170	43	77713	43	77713
87	1357	41	78246	41	78246
88	1829	40	79240	40	79240
89	1468	40	79896	40	79896
90	1737	37	80848	37	80848
91	1235	35	81305	35	81305
92	1143	34	81651	34	81651
93	1614	34	82503	34	82503
94	1059	31	82821	31	82821
95	1674	30	83711	30	83711
96	1042	27	84042	27	84042
97	1414	26	84725	26	84725
98	1756	25	85717	25	85717
99	1921	24	86935	24	86935
100	1888	24	88099	24	88099
101	1628	23	89003	23	89003
102	1542	22	89836	22	89836
103	1450	22	90539	22	90539
104	1949	20	91761	20	91761
105	1081	18	92126	18	92126
106	1137	18	92502	18	92502
107	1098	17	92808	17	92808
108	2006	17	93941	17	93941
109	1544	17	94652	17	94652
110	1327	17	95120	17	95120
111	1273	17	95457	17	95457
112	1391	17	95916	17	95916
113	1916	17	96835	17	96835
114	1460	16	97324	16	97324
115	1868	15	98123	15	98123
116	1233	14	98310	14	98310
117	2088	14	99319	14	99319
118	1618	13	99903	13	99903
119	1278	12	100115	12	100115
120	2259	12	101338	12	101338
121	1377	12	101681	12	101681
122	1901	12	102570	12	102570
123	1746	12	103329	12	103329
124	1615	12	103910	12	103910
125	1490	12	104402	12	104402
126	1821	12	105188	12	105188
127	1358	11	105450	11	105450
128	1377	11	105763	11	105763
129	2134	11	106906	11	106906
130	2165	11	107988	11	107988
131	1827	10	108744	10	108744
132	2070	10	109796	10	109796
133	1484	9	110121	9	110121
134	2247	9	111207	9	111207
135	2292	9	112337	9	112337
136	1881	9	113022	9	113022
137	1597	8	113398	8	113398
138	2268	7	114411	7	114411
139	1424	7	114558	7	114558
140	1446	7	114706	7	114706
141	2312	7	115773	7	115773
142	1465	6	116031	6	116031
143	1687	5	116520	5	116520
144	1738	5	117119	5	117119
145	2263	4	118319	4	118319
146	1769	4	118984	4	118984
147	2291	4	120241	4	120241
148	1966	3	121149	3	121149
149	2344	3	122469	3	122469
150	2041	3	123416	3	123416
151	1598	3	123848	3	123848
152	1879	3	124556	3	124556
153	2234	3	125599	3	125599
154	2736	3	127058	3	127058
155	2530	3	128371	3	128371
156	1586	3	128669	3	128669
157	1766	3	129100	3	129100
158	2350	3	130187	3	130187
159	2238	3	131013	3	131013
160	1880	2	131518	2	131518
161	1569	2	131722	2	131722
162	1732	2	131961	2	131961
163	1898	2	132395	2	132395
164	1845	2	132809	2	132809
165	1900	2	133262	2	133262
166	2876	2	134675	2	134675
167	2579	2	135852	2	135852
168	2261	2	136701	2	136701
169	2642	2	137988	2	137988
170	1702	2	138276	2	138276
171	2218	2	139062	2	139062
172	2874	2	140440	2	140440
173	2391	2	141353	2	141353
