Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
110,314,6,0,379,1.0851203939645546,18401,34927
111,301,5,0,379,1.0754518884254136,18488,35241
112,294,2,0,383,1.0775983343649767,18565,35542
113,264,7,0,383,1.0687576738475277,18642,35836
114,280,5,0,387,1.07202216066482,18687,36100
115,259,2,0,387,1.0637713029136888,18744,36380
116,269,7,0,386,1.0535222031168971,18773,36639
117,315,7,0,386,1.0458437195188035,18808,36908
118,303,12,0,383,1.0289337237729361,18875,37223
119,295,2,0,390,1.0392794329265043,18926,37526
120,290,4,0,386,1.0205970228180112,18997,37821
121,332,5,0,383,1.004959198131773,19075,38111
122,313,6,0,383,0.9962802070598029,19206,38443
123,281,4,0,388,1.0011353080813294,19303,38756
124,313,4,0,385,0.9862438199656737,19348,39037
125,321,8,0,384,0.9758576874205844,19424,39350
126,260,11,0,385,0.9704822162284792,19497,39671
127,308,4,0,393,0.9841977411034033,19532,39931
128,260,4,0,390,0.9692089763662118,19611,40239
129,342,8,0,388,0.9580483468727623,19670,40499
130,292,6,0,390,0.9549227491981097,19767,40841
131,291,5,0,392,0.9530061021564195,19828,41133
132,343,7,0,388,0.936655079181151,19875,41424
133,323,7,0,390,0.9337515263246103,19974,41767
134,286,4,0,389,0.9242100261344737,20068,42090
135,284,2,0,393,0.9274117424957522,20130,42376
136,290,9,0,389,0.9118612283169245,20183,42660
137,315,7,0,398,0.9266589057043074,20259,42950
138,306,7,0,402,0.9291575176239455,20366,43265
139,289,7,0,408,0.9364026531408505,20463,43571
140,298,6,0,410,0.9347925216598267,20545,43860
141,358,9,0,413,0.9352778658453735,20623,44158
142,274,2,0,420,0.9434809955970886,20722,44516
143,289,3,0,417,0.9310113864701942,20747,44790
144,358,8,0,417,0.9250427028106214,20800,45079
145,331,4,0,420,0.924356801725466,20923,45437
146,284,4,0,420,0.9176717357105402,20985,45768
147,281,4,0,420,0.9120125076001042,21039,46052
148,355,8,0,418,0.9021647637752789,21082,46333
149,342,15,0,414,0.886737491432488,21178,46688
150,305,7,0,424,0.9015522007229428,21286,47030
151,294,3,0,427,0.9020809126439209,21366,47335
152,283,6,0,422,0.8860148229020135,21422,47629
153,371,10,0,423,0.8828685924194356,21444,47912
154,363,7,0,428,0.8864403620321852,21549,48283
155,306,3,0,429,0.8818813468733298,21672,48646
156,289,4,0,428,0.8743258702402353,21724,48952
157,292,7,0,431,0.8752868544505595,21783,49241
158,310,5,0,433,0.8741646982819534,21792,49533
159,320,5,0,433,0.8687278053086692,21857,49843
160,300,4,0,435,0.8671730159679446,21952,50163
161,349,6,0,430,0.8521094663416761,21951,50463
162,346,5,0,428,0.842320711642919,22041,50812
163,313,7,0,426,0.8327143359787326,22112,51158
164,359,7,0,427,0.829593363253094,22150,51471
165,328,4,0,427,0.8238471927455141,22225,51830
166,334,6,0,423,0.8109973541930289,22264,52158
167,294,6,0,423,0.8058370799359902,22338,52492
168,390,11,0,425,0.8051377259121737,22359,52786
169,373,5,0,430,0.8086354746502181,22467,53176
170,361,4,0,431,0.8048703057013202,22568,53549
171,316,5,0,432,0.8013355592654423,22652,53910
172,385,10,0,432,0.7966658060708885,22720,54226
173,392,5,0,437,0.8002050868872571,22849,54611
174,377,3,0,434,0.7890478701161755,22949,55003
175,381,10,0,435,0.7854821235102925,23084,55380
176,398,10,0,437,0.7837018704829539,23159,55761
177,321,8,0,442,0.7870510514788369,23260,56159
178,404,6,0,442,0.7825779036827195,23297,56480
179,320,10,0,441,0.7752619365726742,23407,56884
180,309,3,0,441,0.7709251101321586,23426,57204
181,350,4,0,438,0.7615669500808513,23472,57513
182,324,5,0,436,0.7535039662651435,23538,57863
183,390,4,0,439,0.754464055545053,23599,58187
184,375,5,0,440,0.7511480615258548,23710,58577
185,387,6,0,444,0.7531551092414167,23794,58952
186,391,3,0,446,0.7516136099361297,23887,59339
187,318,4,0,447,0.7483676544450025,24008,59730
188,355,4,0,443,0.7377431388222755,24062,60048
189,375,8,0,445,0.7367183749151531,24127,60403
190,395,9,0,446,0.7338181578860772,24206,60778
191,338,3,0,449,0.7339839471662335,24352,61173
192,384,7,0,442,0.7185706621579879,24370,61511
193,359,8,0,446,0.7205751676225867,24433,61895
194,389,11,0,449,0.721238795900665,24489,62254
195,343,6,0,453,0.7231454432258991,24576,62643
196,351,7,0,455,0.722382751722605,24627,62986
197,380,6,0,455,0.7183794622416597,24671,63337
198,430,6,0,456,0.7156645793116436,24756,63717
199,328,5,0,459,0.7155439849096606,24919,64147
200,435,9,0,453,0.7025979061651804,24936,64475
201,394,6,0,456,0.7025111693113542,25071,64910
202,424,4,0,460,0.7043978929315203,25177,65304
203,367,8,0,458,0.6968111002921129,25290,65728
204,395,9,0,461,0.6974808987064074,25343,66095
205,338,4,0,467,0.7023612573319296,25431,66490
206,422,8,0,463,0.6928233674507691,25448,66828
207,412,5,0,466,0.6929368029739776,25579,67250
208,337,4,0,460,0.679849841861015,25699,67662
209,425,4,0,454,0.6676568773070192,25723,67999
210,447,11,0,455,0.6649713550800889,25848,68424
211,342,5,0,460,0.6679153780255841,25991,68871
212,414,7,0,458,0.6617253984078136,26010,69213
213,347,8,0,461,0.6620994729056257,26126,69627
214,457,11,0,465,0.6645325406579586,26183,69974
215,401,9,0,471,0.6687396174979767,26363,70431
216,392,6,0,474,0.6691890670883217,26462,70832
217,431,16,0,473,0.6641019880939009,26541,71224
218,444,8,0,484,0.6754587956178913,26630,71655
219,369,1,0,486,0.6740731494195481,26737,72099
220,391,7,0,480,0.662361318099023,26804,72468
221,365,8,0,478,0.6560617082309667,26876,72859
222,373,6,0,478,0.652791434502349,26952,73224
223,414,6,0,479,0.6508417462668314,27021,73597
224,378,3,0,477,0.6444987907202983,27109,74011
225,405,9,0,476,0.6398795520843136,27169,74389
226,414,7,0,474,0.633740674385646,27234,74794
227,452,10,0,477,0.6342410381874269,27345,75208
228,404,5,0,484,0.6397039386730108,27484,75660
229,451,8,0,478,0.6284181741691207,27554,76064
230,388,9,0,481,0.628634908187937,27706,76515
231,472,10,0,485,0.6306646034615034,27789,76903
232,392,12,0,489,0.6319870759289176,27936,77375
233,446,6,0,495,0.636516774467319,28005,77767
234,468,10,0,495,0.632887115952591,28167,78213
235,490,8,0,499,0.6342064793279191,28300,78681
236,492,10,0,502,0.6340705561379798,28479,79171
237,460,19,0,506,0.6351756775416442,28625,79663
238,425,7,0,516,0.6440098348788738,28760,80123
239,494,11,0,520,0.6455777921239509,28835,80548
240,387,11,0,527,0.6502801016756743,28987,81042
241,506,6,0,530,0.6508737673310492,28987,81429
242,401,7,0,529,0.6456337340574846,29159,81935
243,415,6,0,532,0.6461329187718616,29224,82336
244,475,7,0,535,0.6465178668535728,29280,82751
245,432,5,0,534,0.6416264148222911,29412,83226
246,509,10,0,531,0.6347271032059097,29480,83658
247,389,7,0,533,0.6332648187531931,29620,84167
248,406,6,0,535,0.6327167794124604,29665,84556
249,480,7,0,531,0.6249852875403121,29683,84962
250,398,10,0,533,0.6238149856042696,29785,85442
251,395,8,0,533,0.6209226467847158,29848,85840
252,511,10,0,534,0.6192381283701514,29844,86235
253,461,16,0,538,0.6202015078505061,30007,86746
254,396,7,0,547,0.6272432258878301,30087,87207
255,410,0,0,551,0.6289738935881192,30161,87603
256,503,7,0,544,0.6180905093565723,30222,88013
257,521,12,0,546,0.6168376338741018,30374,88516
258,487,5,0,553,0.6210901086065344,30512,89037
259,537,13,0,555,0.6199454894776819,30651,89524
260,422,8,0,568,0.6306836477498584,30836,90061
261,519,6,0,572,0.6321629477360388,30930,90483
262,457,4,0,573,0.6296564910661304,31064,91002
263,419,5,0,571,0.624323467346024,31154,91459
264,512,9,0,570,0.6203879057010383,31196,91878
265,454,7,0,574,0.6212793592380128,31348,92390
266,529,13,0,576,0.6203955021326095,31432,92844
267,439,6,0,573,0.6136677626294539,31599,93373
268,515,12,0,572,0.609730098494862,31679,93812
269,456,9,0,577,0.6117018457069556,31817,94327
270,431,9,0,582,0.6140341622442843,31881,94783
271,502,10,0,583,0.6123049131430252,31919,95214
272,497,8,0,581,0.6070040536587404,32059,95716
273,456,8,0,583,0.6059472212694751,32178,96213
274,507,6,0,585,0.6051578065357043,32228,96669
275,521,7,0,586,0.6030295546225406,32351,97176
276,547,9,0,588,0.601860855502216,32511,97697
277,505,10,0,592,0.6025813281218192,32700,98244
278,567,10,0,596,0.6035504157004121,32811,98749
